,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
fairmod_factorio_1x2-remnants,1x2 remnants,Развалины 1x2,Restos 1x2,Escombros 1x2,Überreste 1×2,Vestiges 1x2,Resti 1x2,Szczątki 1x2,1x2残骸,1x2残骸,1x2 잔해,,
fairmod_factorio_accumulator,Accumulator,Аккумуляторный блок,Acumulador,Acumulador,Akkumulator,Accumulateur,Accumulatore elettrico,Akumulator,蓄电器,蓄電池,축전지,,
fairmod_factorio_acid-splash,Acid splash,Лужа кислоты,Respingo Ácido,Salpicadura ácida,Säurepfütze,Jet d'acide,Spruzzata d'acido,Rozprysk kwasu,酸液,酸の飛沫,산성 점액,,
fairmod_factorio_active-provider-chest,Active provider chest,Сундук активного снабжения,Baú provedor ativo,Cofre proveedor activo,Aktive Anbieterkiste,Coffre logistique d'approvisionnement actif,Cassa fornitrice attiva,Aktywna skrzynia zaopatrzeniowa,主动供货箱（紫箱）,アクティブ供給チェスト,능동형 공급 상자,,
fairmod_factorio_arithmetic-combinator,Arithmetic combinator,Арифметический комбинатор,Combinador de aritmética,Combinador aritmético,Kombinator für Berechnungen,Calculateur,Combinatore aritmetico,Sterownik arytmetyczny,算术运算器,算術回路,산술 연산 조합기,,
fairmod_factorio_artillery-turret,Artillery turret,Артиллерийское орудие,Torre de artilharia,Torreta de artillería,Artillerie-Geschützturm,Tourelle d'artillerie,Torretta d'artiglieria,Wieżyczka artyleryjska,重炮炮塔,長距離砲タレット,대포 포탑,,
fairmod_factorio_artillery-wagon,Artillery wagon,Артиллерийский вагон,Vagão de artilharia,Vagón de artillería,Artilleriewaggon,Wagon d’artillerie,Vagone d'artiglieria,Wagon artyleryjski,重炮车厢,長距離砲車両,대포 화물차,,
fairmod_factorio_assembling-machine-1,Assembling machine 1,Сборочный автомат 1,Máquina de montagem 1,Máquina de ensamblaje 1,Montagemaschine 1,Machine d'assemblage,Macchina assemblatrice 1,Automat montażowy 1,组装机1型,組立機1,조립 기계 1,,
fairmod_factorio_assembling-machine-2,Assembling machine 2,Сборочный автомат 2,Máquina de montagem 2,Máquina de ensamblaje 2,Montagemaschine 2,Machine d'assemblage rapide,Macchina assemblatrice 2,Automat montażowy 2,组装机2型,組立機2,조립 기계 2,,
fairmod_factorio_assembling-machine-3,Assembling machine 3,Сборочный автомат 3,Máquina de montagem 3,Máquina de ensamblaje 3,Montagemaschine 3,Machine d'assemblage très rapide,Macchina assemblatrice 3,Automat montażowy 3,组装机3型,組立機3,조립 기계 3,,
